jaccard_sim,cosine_diff_i_final,cosine_diff_j_final,cosine_diff_i_j,diff_normalized_degree_cent,s_bias_mean
0.5,0.7625731761275453,1.0000000000000002,0.7625731761275453,0.03333333333333333,5.766197003821991
0.5,0.6469019640183109,1.0000000000000002,0.6469019640183109,0.03333333333333333,1.435263426270332
0.0,0.0,0.7349852140205876,0.0,0.05,3.4235367362880975
0.0,0.0,0.6780831329351227,0.0,0.05,7.291701755714446
0.5,0.7349852140205876,1.0000000000000002,0.7349852140205876,0.05,6.109009759725723
0.5,0.6780831329351227,1.0000000000000002,0.6780831329351227,0.05,2.136240561430588
0.0,0.0,0.7291559944776914,0.0,0.03333333333333333,2.5834860654245877
0.0,0.0,0.6843475255433081,0.0,0.03333333333333333,6.022649729728806
0.5,0.7291559944776914,1.0,0.7291559944776914,0.03333333333333333,4.975160853932814
0.5,0.6843475255433081,1.0,0.6843475255433081,0.03333333333333333,1.4269655035298665
0.0,0.0,0.7428644812639451,0.0,0.03333333333333333,2.849105329621008
0.0,0.0,0.669441829045997,0.0,0.03333333333333333,6.595534218027472
0.5,0.7428644812639451,1.0000000000000002,0.7428644812639451,0.03333333333333333,5.524872779487104
0.5,0.669441829045997,1.0000000000000002,0.669441829045997,0.03333333333333333,1.604053006539768
0.0,0.0,0.7598763540139537,0.0,0.03333333333333333,2.7433021353047686
0.0,0.0,0.6500676323356367,0.0,0.03333333333333333,7.001762595289356
0.5,0.7598763540139537,1.0,0.7598763540139537,0.03333333333333333,5.8566277866544505
0.5,0.6500676323356367,1.0,0.6500676323356367,0.03333333333333333,1.5432183281604315
0.0,0.0,0.7028083782532835,0.0,0.03333333333333333,3.0730505414928535
0.0,0.0,0.7113792121344211,0.0,0.03333333333333333,5.986802520065069
0.5,0.7028083782532835,1.0000000000000002,0.7028083782532835,0.03333333333333333,4.906926759539133
0.5,0.7113792121344211,1.0000000000000002,0.7113792121344211,0.03333333333333333,1.8868972812100717
0.0,0.0,0.7113792121344211,0.0,0.03333333333333333,2.996590019255044
0.0,0.0,0.7028083782532835,0.0,0.03333333333333333,6.1022581814569605
0.5,0.7113792121344211,1.0000000000000002,0.7113792121344211,0.03333333333333333,5.07550635549042
0.5,0.7028083782532835,1.0000000000000002,0.7028083782532835,0.03333333333333333,1.855519026844609
0.0,0.0,0.6897773181208505,0.0,0.05,4.217977247265147
0.0,0.0,0.7240215821410346,0.0,0.05,6.9607463147724085
0.5,0.6897773181208505,1.0,0.6897773181208505,0.05,5.707869130132616
0.5,0.7240215821410346,1.0,0.7240215821410346,0.05,2.868708244564157
0.0,0.0,0.6559562201683535,0.0,0.05,3.9037922955978246
0.0,0.0,0.7547989382759137,0.0,0.05,5.9797915244676325
0.5,0.6559562201683535,1.0,0.6559562201683535,0.05,4.726589672373591
0.5,0.7547989382759137,1.0,0.7547989382759137,0.05,2.6442583809188624
0.0,0.0,0.7296803020238515,0.0,0.04,3.2939819236894192
0.0,0.0,0.6837884591292697,0.0,0.04,6.78308609477021
0.5,0.7296803020238515,1.0,0.7296803020238515,0.04,5.671166287310586
0.5,0.6837884591292697,1.0,0.6837884591292697,0.04,2.0021099485066745
0.0,0.0,0.7279514442265616,0.0,0.05,2.772458984059479
0.0,0.0,0.6856286858412964,0.0,0.05,6.2248372547614945
0.5,0.7279514442265616,1.0,0.7279514442265616,0.05,5.217816390716277
0.5,0.6856286858412964,1.0,0.6856286858412964,0.05,1.643242405253265
0.0,0.0,0.6550967907863648,0.0,0.03333333333333333,3.7040079579728498
0.0,0.0,0.7555449653736075,0.0,0.03333333333333333,5.753762541937909
0.5,0.6550967907863648,1.0,0.6550967907863648,0.03333333333333333,4.58026524310362
0.5,0.7555449653736075,1.0,0.7555449653736075,0.03333333333333333,2.4627364838919243
0.0,0.0,0.7092658707257911,0.0,0.04,3.087845720870981
0.0,0.0,0.7049410788311216,0.0,0.04,6.173858950533667
0.5,0.7092658707257911,1.0,0.7092658707257911,0.04,5.107120546950264
0.5,0.7049410788311216,1.0,0.7049410788311216,0.04,1.8987001180648804
0.0,0.0,0.6969047943708335,0.0,0.03333333333333333,2.849105329621008
0.0,0.0,0.7171636546723114,0.0,0.03333333333333333,5.538923093226256
0.5,0.6969047943708335,1.0,0.6969047943708335,0.03333333333333333,4.602688351241155
